timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675792487154,107,djmag-0,301,Moved Permanently,Thread Group 1-91,,true,,648,118,31,31,http://www.djmag.com/,107,0,46
1675792487262,399,djmag-1,200,OK,Thread Group 1-91,text,true,,92478,114,31,31,https://djmag.com/,273,0,116
1675792487278,397,djmag,200,OK,Thread Group 1-94,text,true,,93139,232,30,30,https://djmag.com/,88,0,39
1675792487278,88,djmag-0,301,Moved Permanently,Thread Group 1-94,,true,,652,118,30,30,http://www.djmag.com/,88,0,39
1675792487366,309,djmag-1,200,OK,Thread Group 1-94,text,true,,92487,114,30,30,https://djmag.com/,182,0,84
1675792485823,1874,topgear,200,OK,Thread Group 1-70,text,true,,388820,240,30,30,https://www.topgear.com/,67,0,30
1675792485823,67,topgear-0,301,Moved Permanently,Thread Group 1-70,,true,,319,120,30,30,http://www.topgear.com/,67,0,30
1675792485891,1806,topgear-1,200,OK,Thread Group 1-70,text,true,,388501,120,30,30,https://www.topgear.com/,1454,0,106
1675792487138,560,wikipedia,200,OK,Thread Group 1-85,text,true,,77212,244,30,30,https://www.wikipedia.org/,146,0,84
1675792487138,146,wikipedia-0,301,TLS Redirect,Thread Group 1-85,,true,,595,122,30,30,http://www.wikipedia.org/,146,0,84
1675792487285,413,wikipedia-1,200,OK,Thread Group 1-85,text,true,,76617,122,30,30,https://www.wikipedia.org/,213,0,123
1675792486900,807,pinterest,200,OK,Thread Group 1-97,text,true,,216729,244,29,29,https://www.pinterest.com/,100,0,51
1675792486900,100,pinterest-0,301,Moved Permanently,Thread Group 1-97,,true,,211,122,29,29,http://www.pinterest.com/,100,0,51
1675792487000,707,pinterest-1,200,OK,Thread Group 1-97,text,true,,216518,122,29,29,https://www.pinterest.com/,374,0,111
1675792486702,1028,topgear,200,OK,Thread Group 1-74,text,true,,388762,240,29,29,https://www.topgear.com/,119,0,58
1675792486702,119,topgear-0,301,Moved Permanently,Thread Group 1-74,,true,,319,120,29,29,http://www.topgear.com/,119,0,58
1675792486821,909,topgear-1,200,OK,Thread Group 1-74,text,true,,388443,120,29,29,https://www.topgear.com/,539,0,121
1675792487151,585,wikipedia,200,OK,Thread Group 1-84,text,true,,77212,244,28,28,https://www.wikipedia.org/,141,0,74
1675792487151,141,wikipedia-0,301,TLS Redirect,Thread Group 1-84,,true,,595,122,28,28,http://www.wikipedia.org/,141,0,74
1675792487293,443,wikipedia-1,200,OK,Thread Group 1-84,text,true,,76617,122,28,28,https://www.wikipedia.org/,238,0,141
1675792486345,1396,imdb,403,Forbidden,Thread Group 1-95,text,false,,1258,234,28,28,https://www.imdb.com/,100,0,48
1675792486345,100,imdb-0,301,Moved Permanently,Thread Group 1-95,text,true,,592,117,28,28,http://www.imdb.com/,100,0,48
1675792486445,1296,imdb-1,403,Forbidden,Thread Group 1-95,text,false,,666,117,28,28,https://www.imdb.com/,1295,0,1127
1675792487279,533,wikipedia,200,OK,Thread Group 1-89,text,true,,77212,244,28,28,https://www.wikipedia.org/,112,0,65
1675792487279,112,wikipedia-0,301,TLS Redirect,Thread Group 1-89,,true,,595,122,28,28,http://www.wikipedia.org/,112,0,65
1675792487392,420,wikipedia-1,200,OK,Thread Group 1-89,text,true,,76617,122,28,28,https://www.wikipedia.org/,264,0,166
1675792486586,1256,topgear,200,OK,Thread Group 1-79,text,true,,388820,240,28,28,https://www.topgear.com/,111,0,52
1675792486586,111,topgear-0,301,Moved Permanently,Thread Group 1-79,,true,,319,120,28,28,http://www.topgear.com/,111,0,52
1675792486698,1144,topgear-1,200,OK,Thread Group 1-79,text,true,,388501,120,28,28,https://www.topgear.com/,788,0,131
1675792485962,1881,topgear,200,OK,Thread Group 1-72,text,true,,388820,240,27,27,https://www.topgear.com/,99,0,51
1675792485962,99,topgear-0,301,Moved Permanently,Thread Group 1-72,,true,,319,120,27,27,http://www.topgear.com/,99,0,51
1675792486061,1782,topgear-1,200,OK,Thread Group 1-72,text,true,,388501,120,27,27,https://www.topgear.com/,1331,0,234
1675792486444,1402,imdb,403,Forbidden,Thread Group 1-96,text,false,,1258,234,26,26,https://www.imdb.com/,1115,0,1065
1675792486444,1115,imdb-0,301,Moved Permanently,Thread Group 1-96,text,true,,592,117,26,26,http://www.imdb.com/,1115,0,1065
1675792487560,286,imdb-1,403,Forbidden,Thread Group 1-96,text,false,,666,117,26,26,https://www.imdb.com/,285,0,118
1675792486633,1215,pinterest,200,OK,Thread Group 1-92,text,true,,215608,244,26,26,https://www.pinterest.com/,122,0,61
1675792486633,122,pinterest-0,301,Moved Permanently,Thread Group 1-92,,true,,211,122,26,26,http://www.pinterest.com/,122,0,61
1675792486756,1092,pinterest-1,200,OK,Thread Group 1-92,text,true,,215397,122,26,26,https://www.pinterest.com/,886,0,613
1675792487291,561,wikipedia,200,OK,Thread Group 1-88,text,true,,77212,244,26,26,https://www.wikipedia.org/,115,0,67
1675792487291,115,wikipedia-0,301,TLS Redirect,Thread Group 1-88,,true,,595,122,26,26,http://www.wikipedia.org/,115,0,67
1675792487406,446,wikipedia-1,200,OK,Thread Group 1-88,text,true,,76617,122,26,26,https://www.wikipedia.org/,271,0,173
1675792487268,585,wikipedia,200,OK,Thread Group 1-86,text,true,,77212,244,26,26,https://www.wikipedia.org/,109,0,63
1675792487268,109,wikipedia-0,301,TLS Redirect,Thread Group 1-86,,true,,595,122,26,26,http://www.wikipedia.org/,109,0,63
1675792487378,475,wikipedia-1,200,OK,Thread Group 1-86,text,true,,76617,122,26,26,https://www.wikipedia.org/,255,0,161
1675792487109,752,pinterest,200,OK,Thread Group 1-99,text,true,,215977,244,26,26,https://www.pinterest.com/,69,0,30
1675792487109,69,pinterest-0,301,Moved Permanently,Thread Group 1-99,,true,,210,122,26,26,http://www.pinterest.com/,69,0,30
1675792487179,682,pinterest-1,200,OK,Thread Group 1-99,text,true,,215767,122,26,26,https://www.pinterest.com/,495,0,117
1675792487351,519,wikipedia,200,OK,Thread Group 1-90,text,true,,77212,244,26,26,https://www.wikipedia.org/,98,0,44
1675792487351,98,wikipedia-0,301,TLS Redirect,Thread Group 1-90,,true,,595,122,26,26,http://www.wikipedia.org/,98,0,44
1675792487449,421,wikipedia-1,200,OK,Thread Group 1-90,text,true,,76617,122,26,26,https://www.wikipedia.org/,265,0,177
1675792485818,2060,topgear,200,OK,Thread Group 1-53,text,true,,388755,240,26,26,https://www.topgear.com/,1145,0,1098
1675792485818,1145,topgear-0,301,Moved Permanently,Thread Group 1-53,,true,,319,120,26,26,http://www.topgear.com/,1145,0,1098
1675792486963,915,topgear-1,200,OK,Thread Group 1-53,text,true,,388436,120,26,26,https://www.topgear.com/,615,0,129
1675792486953,983,topgear,200,OK,Thread Group 1-80,text,true,,388755,240,25,25,https://www.topgear.com/,112,0,49
1675792486953,112,topgear-0,301,Moved Permanently,Thread Group 1-80,,true,,319,120,25,25,http://www.topgear.com/,112,0,49
1675792487066,870,topgear-1,200,OK,Thread Group 1-80,text,true,,388436,120,25,25,https://www.topgear.com/,627,0,85
1675792487268,668,pinterest,200,OK,Thread Group 1-100,text,true,,216963,244,25,25,https://www.pinterest.com/,90,0,44
1675792487268,90,pinterest-0,301,Moved Permanently,Thread Group 1-100,,true,,211,122,25,25,http://www.pinterest.com/,90,0,44
